Seq1Count	Seq1Frequency	Seq2Count	Seq2Frequency	FrequencyDifference	FrequencyRatio	SignificantChange
1357	0.07086902026321287	10917	0.1114935250622983	-0.04062450479908543	0.6356335062831137	False
841	0.0439210361395446	8121	0.08293843702765635	-0.03901740088811175	0.529561898120878	False
1408	0.07353248381031961	6190	0.06321745169328813	0.010315032117031483	1.1631674773459215	False
1107	0.05781282640484646	5623	0.0574267739695249	0.00038605243532156136	1.006722516495989	False
957	0.04997911008982661	8750	0.08936231055190164	-0.039383200462075024	0.5592862335491957	False
1556	0.08126175057447253	11596	0.11842804036112586	-0.03716628978665333	0.6861698490212187	False
1492	0.07791936494673073	6205	0.06337064422566281	0.014548720721067915	1.2295813921231404	False
973	0.05081470649676206	5281	0.053933984231382	-0.003119277734619938	0.9421648932658501	False
966	0.0504491330687278	4695	0.047949262633277506	0.002499870435450295	1.0521357430367522	False
1183	0.06178190933778985	5218	0.053290575595408306	0.008491333742381542	1.159340251958419	False
1478	0.07718821809066222	3767	0.03847175129703011	0.03871646679363211	2.0063609138745107	False
1176	0.061416335909755586	3270	0.0333959720576821	0.028020363852073488	1.8390342345381123	False
1433	0.07483810319615626	6489	0.06627108950529025	0.008567013690866015	1.1292722626837475	False
1398	0.07301023605598496	6898	0.07044813922137343	0.0025620968346115325	1.0363685522844046	False
425	0.022195529559222896	787	0.008037501531925324	0.014158028027297572	2.761496152885475	False
1398	0.07301023605598496	4109	0.041964541035173004	0.031045695020811954	1.7398078057088886	False
